SKU,ItemTitle,ItemDescription,ItemBulletPoint,ItemDescription_2,Manufacturer,MfrPartNum,SellUOM,ItemPrice,ItemFactTag,Segment,Segment Name,Category,Category Name,Class,Class Name,Sub-Class,Sub-Class Name
31603,"Brown Trout Regional Monthly Wall Calendar, 12"" x 12"", Oregon Coast, January To December 2021","Add beauty to your scheduling with this Brown Trout Regional Monthly Wall Calendar. The lovely photographs allow you to show off your favorite state or region in your home or office, while also keeping track of your appointments, deadlines and more.",<ul><li>1 page per month. Offers ample space to write down appointments and tasks.</li> <li>12 months: January to December.</li> <li>Pages are stapled together for durability.</li></ul>,,BROWNTROUT PUBLISHERS INC.,9.78198e+12,EA,14.64,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
30888,"Willow Creek Press Animals Monthly Wall Calendar, 12"" x 12"", 12 Uses For a Golden, January to December 2022, 16404","The wonderful visuals on this wall calendar from Willow Creek Press make it a worthy addition to your workspace. Plus, the large, unlined blocks give you the freedom to view multiple events and reminders at a glance.","<ul><li>1 page per month. Large, unlined blocks provide ample space to write activities, appointments, due dates and more.</li> <li>12 months: January to December. Displays holidays, observances and moon phases.</li> <li>High-quality paper stock is stapled together for secure binding.</li> <li>Offers 6 bonus months to help you prepare for all you have coming up.</li> <li>Fun photos of these lovable pups to make you laugh.</li></ul>",,WILLOW CREEK PRESS,16404,EA,,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
32497,"Dabney Lee for Blue Sky™ Monthly Dry-Erase Wall Calendar, Ollie, 36"" x 24"", July 2019 to June 2020 / January 2020 to December 2020","Stay apprised of events, meetings and appointments with this 2-sided, laminated wall calendar. One side includes July to June, and the opposite side includes January to December, so you can easily plan your entire year and then some.","<ul><li>1 page per year.</li> <li>12 months: July to June and January to December. 1 side includes the academic calendar year, while the other side features a regular calendar year.</li> <li>Erasable surface lets you modify the calendar as the year goes on.</li> <li>Horizontal and vertical planning views.</li></ul>",,BLUE SKY THE COLOR OF IMAGINATION LLC,102411-20,EA,0.01,"* Stay up to date on events * 36"" x 24"" * Academic/regular year * Monthly FORAY pens Dry-erase markers Office Depot paper",SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332002,"Calendars - Wall, Erasable"
31159,"At-A-Glance Tropical Escape Monthly Wall Calendar - Julian Dates - Monthly - 1 Year - January 2021 till December 2021 - 1 Month Single Page Layout - 15"" x 12"" Sheet Size - 2"" x 1"" Block - Wire Bound - Wall Mountable - Blue",,"<ul><li>Wirebound with hanging loop and chipboard backing</li> <li>Printed on quality paper</li> <li>Features photos of a different tropical location each month</li> <li>Unruled blocks are 2"" x 1-3/4""; past and future months reference; Julian dates</li></ul>","<p>Escape to the beach with this tropical wall planner. The photographic background includes warm sand, turquoise water and palm trees. Wall planner offers convenient monthly planning with a different beach photo each month. The photo is ghosted behind the calendar grid. Dated planning pages range 12 months from January to December. One-page-per-month format includes unruled daily blocks (2"" x 1-3/4""), Sunday-through-Saturday scheduling, count of days/days remaining, holidays, and past and future months reference. Wall planner also features wire binding with a hanging loop and full chipboard back.</p>","ACCO BRANDS USA, LLC",DMWTE828DG21,EA,18.32,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
27851,Adams® Bill of Sale,Protect both the buyer and seller with these 4 easy-to-use legal forms,"<ul><li>Buy or sell personal property confidently, and customize the forms to suit your situation. Use to sell or transfer an asset, specify the amount of consideration paid for transfer of title and date of purchase, or disclose information about the asset being transferred and guarantee the item is free from claims and offsets.</li> <li>Includes step-by-step instructions.</li></ul>",,TOPS BUSINESS FORMS,LF135,EA,0.01,* Four legal forms with step-by-step instructions * Protects buyer and seller during any given transaction * Contains 30% postconsumer fibers,SEG_300000,"Dated, Forms & Record Keeping",CAT_320000,Business & Tax Forms,CLS_321000,Forms - Business,SUB_321001,Forms - Contractor
29481,"TF Publishing Large Desk Pad Calendar, 17"" x 22"", Inspire, July 2021 To June 2022","Decorate your work space with a stylish TF Publishing Large Desk Pad Calendar. Large daily blocks give you plenty of space to jot down appointments, deadlines, to-do's and more.",<ul><li>1 page per month.</li> <li>Spreads boast large daily blocks for flexible scheduling.</li> <li>Includes a calendar overview of the previous and upcoming month.</li> <li>12 months: July to June.</li> <li>Holes allow the calendar to be hung on the wall.</li> <li>Corner protectors help the pad lay flat on your desk.</li></ul>,,"THE TIME FACTORY, INC.",22-8234A,EA,,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_331000,Desk Calendars,SUB_331002,Calendars - Desk
32705,"Business Source Aluminum Clipboard - 8 1/2"" x 11"" - Low-profile - Aluminum - Silver - 1 Each",,"<ul><li>Weather-resistant construction provides lasting use virtually anywhere</li> <li>Compact size stores easily in briefcases, file cabinets and more</li> <li>Low-profile clip keeps papers secure while you're on-the-go</li> <li>Smooth surface provides enjoyable writing experience</li></ul>","<p>Aluminum clipboard features a low-profile clip with a 1/2"" capacity to keep your letter-size documents secure while you're on-the-go. Smooth writing surface with rounded corners and edges helps keep your handwriting neat and legible. Heavy-duty, weather-resistant construction withstands the rigors of daily use in harsh work environments. Compact size allows you to easily store this clipboard in briefcases, file cabinets, backpacks and more.</p>",SP RICHARDS,49261,EA,2.89,,SEG_300000,"Dated, Forms & Record Keeping",CAT_340000,Record Keeping,CLS_342000,Form Holders,SUB_342001,Clipboards
29754,"Lang Turner Licensing Boxed Daily Desk Calendar, 5-1/4"" x 5-1/4"", Philadelphia Flyers, January To December 2022",Learn a new trivia fact each day from the Lang Turner Licensing Boxed Daily Calendar. Perforated sheets offer easy removal at the end of the day.,<ul><li>Daily spreads include a new fact or piece of trivia.</li> <li>Built-in pop up stand allows efficient placement on your desk.</li> <li>Perforated pages are easy to remove.</li></ul>,,PERFECT TIMING INC,22998051467,EA,,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_331000,Desk Calendars,SUB_331002,Calendars - Desk
28757,"ComplyRight™ W-2 Tax Forms, Blank Face Without Backer Instructions, 2-Up, Laser, 8-1/2"" x 11"", Pack Of 4,000 Forms","Get ready for tax season with W-2 tax forms from ComplyRight. Form W-2 is used to show an employee's gross wages and withheld taxes, as well as other information like deferred compensation, contributions to a health savings account (HSA) and income from t","<ul><li>Used to report an employee's gross wages, withheld taxes and other information. </li> <li>Fill out a W-2 form for each employee paid remuneration totaling $600 or more during the reporting period. </li> <li>Designed to work with your laser printer.</li></ul>",,"TAX FORMS PRINTING, INC.",5207B21,EA,,,SEG_300000,"Dated, Forms & Record Keeping",CAT_320000,Business & Tax Forms,CLS_326000,Forms - Tax Preparation,SUB_326001,Forms - Tax
28613,"ComplyRight 1099-MISC Tax Forms, Payer Copy C, 2-Up, Laser, 8-1/2"" x 11"", Pack Of 2,000 Forms","If you need to report payments to non-employees made throughout the past year, look to these helpful tax forms. The forms are acid free to help prevent fading and yellowing, making them great for archiving.","<ul><li>Helps you report payments other than wages, tips and salaries, such as miscellaneous income, to non-employees made in the course of a trade or business.</li> <li>Acid free to stand up against fading.</li></ul>",,"TAX FORMS PRINTING, INC.",5112B20,EA,141.03,,SEG_300000,"Dated, Forms & Record Keeping",CAT_320000,Business & Tax Forms,CLS_326000,Forms - Tax Preparation,SUB_326001,Forms - Tax
32784,"Office Depot® Brand Dry-Erase Form Holder Storage Clipboard, Black","Great for keeping your notes in order, this clipboard features a durable, low-profile clip and a storage compartment with dividers. The surface allows you to write notes with a dry-erase marker and wipe them away.","<ul><li>Low-profile metal clip is built for durability.</li> <li>Storage compartment features dividers to separate items. Designed to hold markers on the side.</li> <li>Made of polypropylene to handle everyday use.</li> <li>Clear, dry-erase surface lets you take notes and erase them as needed.</li></ul>",,OFFICE DEPOT,AV16-04191,EA,0.01,* Keep paperwork in order * Dry-erase surface * Storage area with dividers Office Depot paper FORAY pens Dry-erase markers,SEG_300000,"Dated, Forms & Record Keeping",CAT_340000,Record Keeping,CLS_342000,Form Holders,SUB_342001,Clipboards
28063,"Tops Purchase Order Book, Carbonless, 2 Parts, 5-1/2"" x 7-7/8""",The TOPS Purchase Order Book contains consecutively numbered purchase orders and numbered lines.,<ul><li>Helps with record keeping.</li></ul>,"<p>Purchase order book offers ample space for listing up to 12 items and a carbonless two-part design. Duplicate format includes originals in white and duplicates in canary. Each form offers spaces for recipient's name, address, shipping address, date, date required, shipping method, terms of shipment, and name of purchasing agent. The list of 12 items allows you to list quantity, product description, price and unit. Wraparound back cover prevents ""write through."" Detached form measures 5-9/16"" x 7-15/16"". Book contains 50 sets.</p>",TOPS BUSINESS FORMS,46140,EA,5.84,,SEG_300000,"Dated, Forms & Record Keeping",CAT_320000,Business & Tax Forms,CLS_321000,Forms - Business,SUB_321006,Purchase Orders
29654,"Lang Turner Licensing Monthly Desk Calendar, 22” x 17”, Pittsburgh Penguins, January To December 2022",Keep all of your plans in order with a Lang Turner Licensing monthly desk pad calendar. Each desk pad contains specific areas to jot down notes.,<ul><li>1 page per month with spacious daily blocks for plans and reminders.</li> <li>Includes international holidays each month.</li> <li>Each page includes a notes section.</li> <li>12 months: January to December.</li></ul>,,PERFECT TIMING INC,22998061559,EA,,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_331000,Desk Calendars,SUB_331002,Calendars - Desk
31572,"Brown Trout Regional Monthly Wall Calendar, 12"" x 12"", Georgia Wild, January To December 2021","Add beauty to your scheduling with this Brown Trout Regional Monthly Wall Calendar. The lovely photographs allow you to show off your favorite state or region in your home or office, while also keeping track of your appointments, deadlines and more.",<ul><li>1 page per month. Offers ample space to write down appointments and tasks.</li> <li>12 months: January to December.</li> <li>Pages are stapled together for durability.</li></ul>,,BROWNTROUT PUBLISHERS INC.,9.78198e+12,EA,15.56,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
30411,"Willow Creek Press Scenic Monthly Wall Calendar, 12"" x 12"", San Francisco, January To December 2022","12 high-quality, full-color images make these Wall Calendars the best around.","<ul><li>1 page per month. Grids provide ample space to write important information.</li> <li>12 months: January to December. Holidays, observances and moon phases are marked.</li> <li>Made with high-quality paper.</li> <li>Offers 6 bonus months to help you prepare for all you have coming up.</li> <li>Protective shrinkwrap</li> <li>Wrapped in protective shrink wrap.</li></ul>",,WILLOW CREEK PRESS,16497,EA,,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
29934,,Get a daily dose of your team all year round,<ul><li>Each page features full-color action shots of your favorite athletes.</li> <li>Scaled-down size is perfect for your dorm room or office cubicle. Measures 14” tall when opened.</li> <li>Finish off 2015 with this exclusive design! Includes 4 bonus months — September to December 2015.</li></ul>,,PERFECT TIMING INC,21998040533,EA,10.79,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
28569,"ComplyRight™ 1099-R Tax Forms, 6-Part, 2-Up, Copies A, B, C, D, Laser, 8-1/2"" x 11"", Pack Of 10 Forms","If you are looking to report distributions of $10 or more from retirement plans, IRAs, annuities and more, you need these 1099-R tax forms. The forms are acid free, which is great for archiving.","<ul><li>Helps you report distributions of $10 or more from pensions, annuities, IRAs, insurance contracts, retirement or profit-sharing plans and more for each person to whom you have made a designated distribution or are treated as having made a distribution.</li> <li>Acid free to help prevent fading and yellowing.</li> <li>Compatible with laser printers.</li></ul>",,"TAX FORMS PRINTING, INC.",56461020,EA,1.55,,SEG_300000,"Dated, Forms & Record Keeping",CAT_320000,Business & Tax Forms,CLS_326000,Forms - Tax Preparation,SUB_326001,Forms - Tax
29649,"Lang Turner Licensing Monthly Desk Calendar, 22” x 17”, Chicago Blackhawks, January To December 2022",Keep all of your plans in order with a Lang Turner Licensing monthly desk pad calendar. Each desk pad contains specific areas to jot down notes.,<ul><li>1 page per month with spacious daily blocks for plans and reminders.</li> <li>Includes international holidays each month.</li> <li>Each page includes a notes section.</li> <li>12 months: January to December.</li></ul>,,PERFECT TIMING INC,22998061556,EA,,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_331000,Desk Calendars,SUB_331002,Calendars - Desk
28446,"ComplyRight™ 1099-OID Tax Forms, 2-Up, Recipient Copy B, Laser, 8-1/2"" x 11"", Pack Of 100 Forms","When tax season rolls around, your company will be glad you have these 1099-OID forms on hand. The forms are designed for reporting original issue discounts of $10 or more, and the acid-free sheets help fight fading.",<ul><li>Allow corporate and financial institutions to report original issue discounts of $10 or more.</li> <li>Acid-free paper to reduce yellowing over time.</li> <li>Compatible with laser printers.</li></ul>,,"TAX FORMS PRINTING, INC.",51645020,EA,8.36,,SEG_300000,"Dated, Forms & Record Keeping",CAT_320000,Business & Tax Forms,CLS_326000,Forms - Tax Preparation,SUB_326001,Forms - Tax
32868,"SKILCRAFT® DeskMate II Calculator Storage Clipboard, 16"" x 10"" x 2 5/8"", Black (AbilityOne 7520-01-622-7157)",Carry office essentials with you,"<ul><li>Polypropylene construction. Great for public safety use.</li> <li>Secure documents under the clip on the top side or the storage compartment underneath. Large internal storage holds pads, pens and more and fits paper sizes up to 9 1/2"" x 11 3/4"".</li> <li>Low-profile metal clip with rubber grip. Holds up to 1/2"" of paper securely.</li> <li>Dual-powered calculator. Calculator is solar-powered and battery-operated. Includes AG10 button battery.</li></ul>",,NATIONAL INDUSTRIES FOR THE BLIND,6227157,EA,12.31,"* Carry office essentials with you * Polypropylene construction * Internal storage * Low-profile metal clip w/ rubber grip * Dual-powered calculator * Includes AG10 button battery * 16""H x 10""W x 2 5/8""D * Color Office Depot paper FORAY pens FORAY pencils",SEG_300000,"Dated, Forms & Record Keeping",CAT_340000,Record Keeping,CLS_342000,Form Holders,SUB_342001,Clipboards
30709,"Willow Creek Press Animals Monthly Wall Calendar, 12"" x 12"", Just Goldendoodle Puppies, January to December 2022, 18118","The wonderful visuals on this wall calendar from Willow Creek Press make it a worthy addition to your workspace. Plus, the large, unlined blocks give you the freedom to view multiple events and reminders at a glance.","<ul><li>1 page per month. Large, unlined blocks provide ample space to write activities, appointments, due dates and more.</li> <li>12 months: January to December. Displays holidays, observances and moon phases.</li> <li>High-quality paper stock is stapled together for secure binding.</li> <li>Offers 6 bonus months to help you prepare for all you have coming up.</li> <li>Cute goldendoodle pups are sure to make you smile.</li></ul>",,WILLOW CREEK PRESS,18118,EA,,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
28895,"Blueline® DuraGlobe™ 13-Month Academic Monthly Desk Pad, 17"" x 22"", July 2019 to July 2020","Accent your workspace with this 13-month desk calendar from Blueline. This desk pad provides ample room to jot down appointments and reminders, so you can keep everything in 1 place.",<ul><li>1 page per month.</li> <li>13 months: July to July of the next year.</li> <li>Made with sugarcane-based paper for an eco-conscious choice.</li> <li>Top-bound sheets are perforated for easy removal.</li> <li>Reinforced chipboard backer helps protect your desk's surface.</li></ul>,,"REDIFORM, INC.",CA177227-20,EA,0.01,* Arrange your monthly schedule * 13 months * Academic year * 1 page per month Office Depot paper FORAY pens Highlighters,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_331000,Desk Calendars,SUB_331002,Calendars - Desk
31717,"AT-A-GLANCE® Yearly Wall Calendar, 24"" x 36"", January To December 2022, PM1228",Clearly view all your plans for the year at once with the AT-A-GLANCE Yearly Wall Calendar. The layout has 4 rows with 3 months in each for easy big-picture planning.,"<ul><li>1 page per year. Unruled daily blocks allow open planning.</li> <li>12 months: January to December.</li> <li>Paper offers ink bleed resistance, so you can write with confidence.</li> <li>Metal bound on the top and bottom to lay flat against the wall. Eyelet enables easy hanging.</li> <li>Bold print is easy to read.</li></ul>",,"ACCO BRANDS USA, LLC",PM122822,EA,13.36,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
31879,"TF Publishing Scenic Wall Calendar, 12"" x 12"", Pacific Northwest Parks, January To December 2022","Mark down important dates and events with the TF Publishing scenic wall calendar. It features a variety of photographs, illustrations, and typographic elements that give each and every month a unique feel.",<ul><li>1 page per month.</li> <li>12 months: January to December. Contains a bonus 4-month spread from January to April.</li> <li>Printed on premium paper with saddle-stitched binding for durability.</li></ul>,,"THE TIME FACTORY, INC.",22-1170,EA,,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
29326,,,<ul></ul>,,PERFECT TIMING INC,21998051441,EA,16.7,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_331000,Desk Calendars,SUB_331002,Calendars - Desk
28832,"ComplyRight™ 1099-NEC Tax Forms Set, 3-Part, 3-Up, Copies A/B/C, Laser, 8-1/2"" x 11"", Pack Of 50 Forms And Envelopes","Capture payments to self-employed individuals easily with ComplyRight 1099-NEC Tax Forms. Each form is acid-free to avoid yellowing and fading to remain pristine in your records, while helping you track payments made for services in the course of your tra","<ul><li>1099-NEC forms will capture any payments to non-employee service providers, such as independent contractors, freelancers, vendors, consultants and other self-employed individuals.</li> <li>Acid-free paper will resist yellowing and fading.</li></ul>",,"TAX FORMS PRINTING, INC.",NEC6102E21,EA,,,SEG_300000,"Dated, Forms & Record Keeping",CAT_320000,Business & Tax Forms,CLS_326000,Forms - Tax Preparation,SUB_326001,Forms - Tax
32012,"Lang Turner Licensing Monthly Wall Calendar, 12"" x 24"", Zion Williamson, January to December 2022","Show off your sports fandom with a Lang Turner Licensing monthly wall calendar. Each calendar features detailed full-color photos of your favorite players, teams and stadiums to brighten your workspace each month.",<ul><li>1 page per day with spacious daily blocks.</li> <li>12 months: January to December.</li> <li>Bonus page features September – December.</li> <li>Stapled binding for year-long durability.</li></ul>,,PERFECT TIMING INC,22998012158,EA,,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
28714,"ComplyRight™ W-2 Tax Forms, Blank Face With Backer Instructions, 4-Up (Horizontal Format), Laser, 8-1/2"" x 11"", Pack Of 50 Forms","Get ready for tax season with W-2 tax forms from ComplyRight. Form W-2 is used to show an employee's gross wages and withheld taxes, as well as other information like deferred compensation, contributions to a health savings account (HSA) and income from t","<ul><li>Used to report an employee's gross wages, withheld taxes and other information. </li> <li>Fill out a W-2 form for each employee paid remuneration totaling $600 or more during the reporting period. </li> <li>Compatible with laser printers.</li></ul>",,"TAX FORMS PRINTING, INC.",52085020,EA,7.7,,SEG_300000,"Dated, Forms & Record Keeping",CAT_320000,Business & Tax Forms,CLS_326000,Forms - Tax Preparation,SUB_326001,Forms - Tax
